[Name],,,,,
Momentum and Mass,,,,,
,,,,,
[Data],,,,,
Accumulated Timestep,RMS P-Mass,RMS U-Mom,RMS V-Mom,RMS W-Mom,Current Timestep
144,6.56E-05,7.36E-06,2.48E-05,1.78E-05,1.90E+01
145,9.65E-05,1.19E-05,3.85E-05,2.83E-05,2.00E+01
146,8.05E-05,9.29E-06,2.88E-05,2.61E-05,2.10E+01
147,9.94E-05,8.26E-06,1.74E-05,1.58E-05,2.20E+01
148,7.37E-05,9.79E-06,2.04E-05,2.78E-05,2.30E+01
149,7.40E-05,1.00E-05,2.29E-05,2.83E-05,2.40E+01
150,7.09E-05,9.73E-06,2.33E-05,1.86E-05,2.50E+01
151,7.61E-05,8.64E-06,1.86E-05,1.15E-05,2.60E+01
152,6.97E-05,1.02E-05,1.74E-05,1.48E-05,2.70E+01
153,7.01E-05,1.30E-05,3.64E-05,3.57E-05,2.80E+01
154,8.65E-05,8.78E-06,3.56E-05,3.36E-05,2.90E+01
155,6.34E-05,6.54E-06,1.63E-05,1.47E-05,3.00E+01
156,7.01E-05,6.96E-06,9.25E-06,1.18E-05,3.10E+01
157,8.60E-05,7.21E-06,2.25E-05,1.83E-05,3.20E+01
158,8.35E-05,7.05E-06,2.54E-05,1.76E-05,3.30E+01
159,9.90E-05,9.28E-06,2.64E-05,2.37E-05,3.40E+01
160,7.56E-05,9.20E-06,1.23E-05,1.51E-05,3.50E+01
161,9.35E-05,1.11E-05,1.28E-05,2.41E-05,3.60E+01
162,7.92E-05,7.18E-06,1.18E-05,1.49E-05,3.70E+01
163,8.63E-05,5.39E-06,7.90E-06,1.20E-05,3.80E+01
164,8.50E-05,1.36E-05,2.25E-05,1.79E-05,3.90E+01
165,5.99E-05,8.08E-06,1.76E-05,1.30E-05,4.00E+01
166,8.78E-05,1.40E-05,3.33E-05,3.29E-05,4.10E+01
167,7.24E-05,9.33E-06,2.38E-05,2.71E-05,4.20E+01
168,9.53E-05,8.20E-06,4.43E-05,2.25E-05,4.30E+01
169,6.09E-05,6.27E-06,2.03E-05,1.24E-05,4.40E+01
170,6.62E-05,7.93E-06,1.87E-05,2.36E-05,4.50E+01
171,6.62E-05,9.48E-06,1.98E-05,2.73E-05,4.60E+01
172,7.16E-05,1.04E-05,1.17E-05,2.51E-05,4.70E+01
173,9.94E-05,9.14E-06,1.81E-05,2.14E-05,4.80E+01
174,6.18E-05,7.02E-06,2.16E-05,2.17E-05,4.90E+01
175,6.25E-05,8.37E-06,2.03E-05,1.84E-05,5.00E+01
176,8.27E-05,9.95E-06,3.56E-05,2.93E-05,5.10E+01
177,6.95E-05,9.79E-06,3.83E-05,3.67E-05,5.20E+01
178,7.87E-05,1.13E-05,4.97E-05,5.34E-05,5.30E+01
179,5.78E-05,6.13E-06,1.23E-05,1.12E-05,5.40E+01
180,6.62E-05,8.09E-06,2.08E-05,1.73E-05,5.50E+01
181,8.26E-05,1.18E-05,4.19E-05,3.53E-05,5.60E+01
182,7.20E-05,9.90E-06,2.71E-05,2.32E-05,5.70E+01
183,8.02E-05,9.02E-06,1.76E-05,1.50E-05,5.80E+01
184,6.94E-05,1.17E-05,3.13E-05,1.68E-05,5.90E+01
185,6.48E-05,9.15E-06,2.82E-05,1.87E-05,6.00E+01
186,9.45E-05,1.46E-05,3.84E-05,3.13E-05,6.10E+01
187,6.36E-05,1.02E-05,2.12E-05,1.76E-05,6.20E+01
188,7.53E-05,1.37E-05,4.85E-05,3.07E-05,6.30E+01
189,7.54E-05,1.30E-05,4.27E-05,2.32E-05,6.40E+01
190,6.13E-05,1.44E-05,4.88E-05,3.35E-05,6.50E+01
191,6.76E-05,9.68E-06,5.02E-05,3.11E-05,6.60E+01
192,8.95E-05,8.18E-06,2.42E-05,1.66E-05,6.70E+01
193,6.94E-05,9.83E-06,3.31E-05,1.66E-05,6.80E+01
194,6.09E-05,8.25E-06,3.86E-05,1.77E-05,6.90E+01
195,6.66E-05,8.51E-06,2.76E-05,1.95E-05,7.00E+01
196,6.70E-05,9.52E-06,2.15E-05,2.02E-05,7.10E+01
197,7.40E-05,9.39E-06,3.38E-05,3.17E-05,7.20E+01
198,7.01E-05,9.93E-06,1.58E-05,1.79E-05,7.30E+01
199,7.84E-05,8.80E-06,2.30E-05,2.60E-05,7.40E+01
200,6.36E-05,1.08E-05,1.98E-05,2.38E-05,7.50E+01
201,5.86E-05,1.56E-05,2.39E-05,3.41E-05,7.60E+01
202,7.22E-05,7.89E-06,2.21E-05,1.86E-05,7.70E+01
203,5.72E-05,6.92E-06,2.20E-05,1.77E-05,7.80E+01
204,7.72E-05,1.89E-05,8.68E-05,7.69E-05,7.90E+01
205,8.72E-05,2.31E-05,8.12E-05,6.97E-05,8.00E+01
206,6.55E-05,1.52E-05,2.80E-05,2.54E-05,8.10E+01
207,7.24E-05,1.81E-05,4.38E-05,5.03E-05,8.20E+01
208,6.30E-05,1.21E-05,3.32E-05,3.28E-05,8.30E+01
209,9.52E-05,1.83E-05,5.16E-05,4.73E-05,8.40E+01
210,8.49E-05,9.08E-06,1.85E-05,1.41E-05,8.50E+01
211,6.75E-05,1.08E-05,2.72E-05,3.41E-05,8.60E+01
212,8.72E-05,1.57E-05,3.77E-05,4.42E-05,8.70E+01
213,9.46E-05,1.44E-05,3.65E-05,3.36E-05,8.80E+01
214,8.24E-05,8.38E-06,2.70E-05,1.75E-05,8.90E+01
215,9.14E-05,8.21E-06,4.35E-05,2.92E-05,9.00E+01
216,6.65E-05,1.26E-05,2.08E-05,2.09E-05,9.10E+01
217,9.67E-05,1.37E-05,4.04E-05,3.33E-05,9.20E+01
218,7.67E-05,1.10E-05,3.05E-05,2.48E-05,9.30E+01
219,6.64E-05,1.59E-05,4.32E-05,3.11E-05,9.40E+01
220,7.61E-05,1.85E-05,5.18E-05,4.94E-05,9.50E+01
221,9.08E-05,2.35E-05,8.61E-05,5.37E-05,9.60E+01
222,9.79E-05,1.85E-05,6.34E-05,4.95E-05,9.70E+01
223,5.90E-05,1.27E-05,3.05E-05,2.66E-05,9.80E+01
224,8.36E-05,1.80E-05,8.52E-05,5.94E-05,9.90E+01
225,6.79E-05,1.75E-05,6.21E-05,4.83E-05,1.00E+02
226,6.08E-05,1.06E-05,3.24E-05,2.32E-05,1.01E+02
227,7.67E-05,1.60E-05,5.31E-05,5.14E-05,1.02E+02
228,6.23E-05,1.25E-05,4.79E-05,5.29E-05,1.03E+02
229,5.30E-05,1.68E-05,5.11E-05,2.95E-05,1.04E+02
230,6.60E-05,1.16E-05,4.51E-05,2.80E-05,1.05E+02
231,8.30E-05,2.09E-05,5.14E-05,3.84E-05,1.06E+02
232,6.62E-05,1.47E-05,2.83E-05,2.16E-05,1.07E+02
233,8.79E-05,1.73E-05,5.45E-05,4.01E-05,1.08E+02
234,8.08E-05,1.71E-05,3.82E-05,3.30E-05,1.09E+02
235,6.97E-05,1.25E-05,2.86E-05,3.21E-05,1.10E+02
236,9.73E-05,1.04E-05,1.60E-05,2.72E-05,1.11E+02
237,8.61E-05,1.25E-05,2.97E-05,1.53E-05,1.12E+02
238,7.64E-05,1.69E-05,4.47E-05,5.45E-05,1.13E+02
239,6.89E-05,1.54E-05,2.74E-05,4.43E-05,1.14E+02
240,5.90E-05,1.08E-05,1.39E-05,1.28E-05,1.15E+02
241,9.82E-05,1.26E-05,1.57E-05,2.06E-05,1.16E+02
242,5.75E-05,6.90E-06,9.79E-06,1.28E-05,1.17E+02
243,6.77E-05,8.57E-06,2.43E-05,1.76E-05,1.18E+02
244,6.76E-05,1.67E-05,3.47E-05,6.75E-05,1.19E+02
245,9.27E-05,1.31E-05,1.97E-05,5.47E-05,1.20E+02
246,8.00E-05,1.17E-05,1.46E-05,3.53E-05,1.21E+02
247,5.84E-05,9.46E-06,2.03E-05,2.47E-05,1.22E+02
248,7.12E-05,1.26E-05,3.58E-05,4.02E-05,1.23E+02
