[Name],,,,,
Momentum and Mass,,,,,
,,,,,
[Data],,,,,
Accumulated Timestep,RMS P-Mass,RMS U-Mom,RMS V-Mom,RMS W-Mom,Current Timestep
6058,9.27E-05,1.45E-05,2.66E-05,2.11E-05,5.02E+03
6059,8.98E-05,1.31E-05,3.96E-05,3.40E-05,5.03E+03
6060,7.46E-05,1.19E-05,3.57E-05,3.20E-05,5.03E+03
6061,6.19E-05,8.18E-06,2.30E-05,1.69E-05,5.03E+03
6062,5.52E-05,6.32E-06,2.09E-05,1.71E-05,5.03E+03
6063,9.37E-05,1.94E-05,4.72E-05,2.13E-05,5.03E+03
6064,6.15E-05,1.39E-05,3.78E-05,1.78E-05,5.03E+03
6065,7.42E-05,1.22E-05,4.23E-05,2.23E-05,5.03E+03
6066,5.97E-05,1.10E-05,2.61E-05,1.90E-05,5.03E+03
6067,7.46E-05,1.35E-05,3.90E-05,3.11E-05,5.03E+03
6068,9.08E-05,1.34E-05,4.32E-05,3.27E-05,5.03E+03
6069,9.66E-05,1.44E-05,2.86E-05,2.55E-05,5.04E+03
6070,5.86E-05,1.11E-05,1.72E-05,1.47E-05,5.04E+03
6071,7.60E-05,9.25E-06,1.72E-05,1.31E-05,5.04E+03
6072,6.16E-05,1.91E-05,2.99E-05,2.53E-05,5.04E+03
6073,9.15E-05,1.68E-05,4.26E-05,2.36E-05,5.04E+03
6074,8.83E-05,1.35E-05,3.50E-05,2.27E-05,5.04E+03
6075,6.88E-05,8.08E-06,1.89E-05,1.76E-05,5.04E+03
6076,7.44E-05,8.13E-06,1.88E-05,2.18E-05,5.04E+03
6077,6.13E-05,4.84E-06,1.07E-05,1.31E-05,5.04E+03
6078,7.87E-05,1.03E-05,1.94E-05,4.19E-05,5.04E+03
6079,8.47E-05,1.75E-05,3.81E-05,6.40E-05,5.05E+03
6080,9.36E-05,1.37E-05,3.84E-05,5.44E-05,5.05E+03
6081,5.88E-05,8.12E-06,1.33E-05,1.40E-05,5.05E+03
6082,9.83E-05,1.26E-05,3.04E-05,3.61E-05,5.05E+03
6083,5.97E-05,6.41E-06,1.88E-05,1.86E-05,5.05E+03
6084,9.23E-05,1.06E-05,3.50E-05,3.79E-05,5.05E+03
6085,9.31E-05,1.34E-05,3.78E-05,3.61E-05,5.05E+03
6086,8.76E-05,1.96E-05,7.00E-05,5.90E-05,5.05E+03
6087,8.62E-05,1.32E-05,3.96E-05,4.01E-05,5.05E+03
6088,7.17E-05,1.13E-05,2.86E-05,3.94E-05,5.05E+03
6089,7.69E-05,1.15E-05,1.93E-05,2.88E-05,5.06E+03
6090,9.99E-05,1.59E-05,3.01E-05,3.51E-05,5.06E+03
6091,9.31E-05,1.04E-05,2.52E-05,2.72E-05,5.06E+03
6092,7.56E-05,8.06E-06,1.27E-05,1.11E-05,5.06E+03
6093,9.97E-05,8.63E-06,1.16E-05,1.64E-05,5.06E+03
6094,9.68E-05,8.10E-06,1.29E-05,1.56E-05,5.06E+03
6095,5.82E-05,5.60E-06,7.31E-06,8.30E-06,5.06E+03
6096,6.66E-05,8.87E-06,2.41E-05,2.06E-05,5.06E+03
6097,7.93E-05,1.30E-05,4.03E-05,3.60E-05,5.06E+03
6098,9.88E-05,1.68E-05,5.82E-05,6.02E-05,5.06E+03
6099,7.88E-05,1.22E-05,3.55E-05,2.46E-05,5.07E+03
6100,7.78E-05,1.25E-05,3.25E-05,2.12E-05,5.07E+03
6101,6.34E-05,1.01E-05,2.01E-05,2.12E-05,5.07E+03
6102,9.50E-05,2.12E-05,5.20E-05,6.99E-05,5.07E+03
6103,9.09E-05,1.43E-05,4.37E-05,6.07E-05,5.07E+03
6104,8.18E-05,1.24E-05,2.69E-05,4.29E-05,5.07E+03
6105,9.50E-05,2.30E-05,4.71E-05,4.35E-05,5.07E+03
6106,6.81E-05,1.43E-05,2.34E-05,2.27E-05,5.07E+03
6107,7.76E-05,1.23E-05,1.81E-05,2.18E-05,5.07E+03
6108,5.85E-05,9.61E-06,1.40E-05,1.69E-05,5.07E+03
6109,9.64E-05,1.18E-05,2.53E-05,3.45E-05,5.08E+03
6110,7.02E-05,8.09E-06,1.95E-05,2.55E-05,5.08E+03
6111,7.73E-05,8.34E-06,1.79E-05,2.29E-05,5.08E+03
6112,8.77E-05,1.19E-05,2.54E-05,3.07E-05,5.08E+03
6113,6.84E-05,1.10E-05,2.95E-05,3.05E-05,5.08E+03
6114,5.71E-05,8.50E-06,1.71E-05,1.63E-05,5.08E+03
6115,8.46E-05,1.85E-05,1.85E-05,3.07E-05,5.08E+03
6116,6.61E-05,9.86E-06,2.14E-05,2.46E-05,5.08E+03
6117,6.22E-05,7.80E-06,1.96E-05,2.43E-05,5.08E+03
6118,9.58E-05,1.19E-05,2.11E-05,3.04E-05,5.08E+03
6119,7.31E-05,9.35E-06,1.38E-05,2.36E-05,5.09E+03
6120,6.68E-05,6.99E-06,1.15E-05,1.63E-05,5.09E+03
6121,8.48E-05,1.20E-05,2.47E-05,4.51E-05,5.09E+03
6122,8.74E-05,1.09E-05,1.80E-05,2.85E-05,5.09E+03
6123,9.35E-05,1.72E-05,4.23E-05,5.23E-05,5.09E+03
6124,8.53E-05,1.58E-05,4.00E-05,5.65E-05,5.09E+03
6125,9.63E-05,1.09E-05,2.65E-05,4.20E-05,5.09E+03
6126,8.73E-05,1.85E-05,4.83E-05,3.10E-05,5.09E+03
6127,7.38E-05,1.53E-05,4.59E-05,4.78E-05,5.09E+03
6128,7.97E-05,1.16E-05,3.71E-05,4.15E-05,5.09E+03
6129,9.06E-05,1.06E-05,2.09E-05,3.08E-05,5.10E+03
6130,8.98E-05,9.54E-06,1.68E-05,2.50E-05,5.10E+03
6131,9.64E-05,1.92E-05,2.99E-05,2.82E-05,5.10E+03
6132,9.66E-05,1.65E-05,3.25E-05,3.55E-05,5.10E+03
6133,6.63E-05,8.19E-06,1.77E-05,1.79E-05,5.10E+03
6134,7.95E-05,9.05E-06,2.44E-05,2.68E-05,5.10E+03
6135,6.52E-05,6.29E-06,1.14E-05,1.29E-05,5.10E+03
6136,9.34E-05,1.54E-05,4.38E-05,2.96E-05,5.10E+03
6137,7.36E-05,1.00E-05,2.51E-05,1.65E-05,5.10E+03
6138,7.56E-05,1.09E-05,3.55E-05,2.91E-05,5.10E+03
6139,9.89E-05,1.23E-05,2.35E-05,3.59E-05,5.11E+03
6140,9.87E-05,1.11E-05,1.87E-05,3.94E-05,5.11E+03
6141,8.55E-05,1.06E-05,1.73E-05,3.14E-05,5.11E+03
6142,7.44E-05,8.48E-06,1.52E-05,2.31E-05,5.11E+03
6143,6.39E-05,7.18E-06,1.58E-05,1.93E-05,5.11E+03
6144,6.81E-05,1.14E-05,3.52E-05,3.12E-05,5.11E+03
6145,9.59E-05,1.04E-05,4.33E-05,3.25E-05,5.11E+03
6146,7.32E-05,1.15E-05,3.10E-05,2.98E-05,5.11E+03
6147,9.25E-05,1.43E-05,2.05E-05,4.41E-05,5.11E+03
6148,6.59E-05,7.75E-06,1.57E-05,1.78E-05,5.11E+03
6149,7.24E-05,1.35E-05,3.04E-05,3.03E-05,5.12E+03
6150,6.72E-05,1.09E-05,2.35E-05,2.27E-05,5.12E+03
6151,6.61E-05,1.22E-05,2.30E-05,2.29E-05,5.12E+03
6152,8.44E-05,1.49E-05,3.54E-05,3.49E-05,5.12E+03
6153,7.64E-05,1.05E-05,2.95E-05,3.03E-05,5.12E+03
6154,8.49E-05,1.09E-05,2.81E-05,2.44E-05,5.12E+03
6155,6.55E-05,9.37E-06,1.91E-05,2.09E-05,5.12E+03
6156,7.48E-05,7.20E-06,1.16E-05,1.72E-05,5.12E+03
6157,7.37E-05,9.44E-06,2.43E-05,2.33E-05,5.12E+03
6158,7.73E-05,8.38E-06,2.39E-05,2.09E-05,5.12E+03
6159,6.54E-05,6.61E-06,1.51E-05,1.57E-05,5.13E+03
6160,6.68E-05,7.95E-06,1.33E-05,1.73E-05,5.13E+03
6161,7.18E-05,7.30E-06,9.57E-06,1.60E-05,5.13E+03
6162,6.28E-05,7.78E-06,1.25E-05,1.93E-05,5.13E+03
6163,7.70E-05,7.86E-06,1.44E-05,1.69E-05,5.13E+03
6164,6.89E-05,5.98E-06,1.35E-05,1.33E-05,5.13E+03
6165,8.36E-05,1.20E-05,3.51E-05,4.21E-05,5.13E+03
6166,9.10E-05,1.54E-05,3.86E-05,3.74E-05,5.13E+03
6167,7.77E-05,8.29E-06,2.93E-05,2.74E-05,5.13E+03
6168,9.91E-05,1.21E-05,5.38E-05,3.48E-05,5.13E+03
6169,5.64E-05,7.58E-06,2.37E-05,1.90E-05,5.14E+03
6170,6.35E-05,9.01E-06,1.33E-05,3.26E-05,5.14E+03
6171,6.93E-05,8.56E-06,2.45E-05,3.11E-05,5.14E+03
6172,7.85E-05,1.26E-05,1.56E-05,3.37E-05,5.14E+03
6173,8.93E-05,1.00E-05,2.67E-05,4.12E-05,5.14E+03
6174,6.25E-05,6.97E-06,2.09E-05,1.79E-05,5.14E+03
6175,6.06E-05,9.32E-06,1.83E-05,2.08E-05,5.14E+03
6176,7.62E-05,1.05E-05,3.29E-05,3.23E-05,5.14E+03
6177,7.93E-05,1.04E-05,3.08E-05,3.16E-05,5.14E+03
6178,7.88E-05,1.54E-05,6.15E-05,7.06E-05,5.14E+03
6179,7.02E-05,6.93E-06,3.17E-05,3.22E-05,5.15E+03
6180,6.00E-05,8.53E-06,2.35E-05,2.68E-05,5.15E+03
6181,9.75E-05,3.11E-05,5.78E-05,4.35E-05,5.15E+03
6182,8.70E-05,2.49E-05,4.02E-05,2.58E-05,5.15E+03
6183,6.96E-05,1.19E-05,2.98E-05,2.28E-05,5.15E+03
6184,7.51E-05,1.11E-05,3.24E-05,3.14E-05,5.15E+03
6185,9.97E-05,1.74E-05,4.81E-05,5.40E-05,5.15E+03
6186,8.79E-05,1.41E-05,2.86E-05,3.62E-05,5.15E+03
6187,7.32E-05,1.02E-05,2.46E-05,1.91E-05,5.15E+03
6188,8.41E-05,1.40E-05,5.88E-05,3.89E-05,5.15E+03
6189,9.81E-05,1.56E-05,7.09E-05,5.15E-05,5.16E+03
6190,6.81E-05,9.29E-06,4.47E-05,3.82E-05,5.16E+03
6191,5.84E-05,1.05E-05,3.48E-05,2.61E-05,5.16E+03
6192,7.17E-05,1.14E-05,4.82E-05,3.05E-05,5.16E+03
6193,8.49E-05,1.41E-05,6.28E-05,3.86E-05,5.16E+03
6194,6.24E-05,8.05E-06,3.56E-05,2.17E-05,5.16E+03
6195,8.08E-05,1.47E-05,4.76E-05,3.91E-05,5.16E+03
6196,8.02E-05,9.81E-06,3.71E-05,3.25E-05,5.16E+03
6197,9.01E-05,1.00E-05,1.81E-05,1.98E-05,5.16E+03
6198,7.21E-05,7.42E-06,1.03E-05,1.79E-05,5.16E+03
6199,7.14E-05,7.69E-06,1.29E-05,2.50E-05,5.17E+03
6200,6.69E-05,1.98E-05,2.71E-05,3.23E-05,5.17E+03
6201,9.78E-05,2.71E-05,5.40E-05,5.13E-05,5.17E+03
6202,7.16E-05,8.70E-06,2.22E-05,2.51E-05,5.17E+03
6203,7.01E-05,8.60E-06,1.75E-05,2.72E-05,5.17E+03
6204,6.89E-05,1.54E-05,2.80E-05,5.58E-05,5.17E+03
6205,9.31E-05,1.60E-05,8.65E-05,8.80E-05,5.17E+03
6206,6.81E-05,1.83E-05,4.56E-05,4.92E-05,5.17E+03
6207,8.18E-05,1.65E-05,4.06E-05,4.63E-05,5.17E+03
6208,6.68E-05,1.13E-05,2.69E-05,3.82E-05,5.17E+03
6209,7.25E-05,1.11E-05,1.52E-05,3.31E-05,5.18E+03
6210,6.68E-05,7.35E-06,1.34E-05,3.01E-05,5.18E+03
6211,6.15E-05,7.76E-06,1.74E-05,2.70E-05,5.18E+03
6212,6.04E-05,8.32E-06,2.30E-05,2.89E-05,5.18E+03
6213,5.85E-05,9.76E-06,2.14E-05,2.58E-05,5.18E+03
6214,8.25E-05,7.66E-06,2.33E-05,1.92E-05,5.18E+03
6215,9.29E-05,8.51E-06,3.64E-05,3.91E-05,5.18E+03
6216,8.92E-05,1.21E-05,2.19E-05,4.26E-05,5.18E+03
6217,5.84E-05,1.03E-05,2.62E-05,2.40E-05,5.18E+03
6218,6.67E-05,9.76E-06,1.91E-05,2.34E-05,5.18E+03
6219,8.07E-05,1.87E-05,4.54E-05,3.37E-05,5.19E+03
6220,7.82E-05,3.00E-05,8.59E-05,7.01E-05,5.19E+03
6221,5.95E-05,1.43E-05,4.55E-05,3.22E-05,5.19E+03
6222,9.96E-05,1.35E-05,5.81E-05,5.67E-05,5.19E+03
6223,5.43E-05,1.17E-05,3.31E-05,2.87E-05,5.19E+03
6224,9.84E-05,1.64E-05,8.51E-05,5.81E-05,5.19E+03
6225,9.03E-05,1.36E-05,6.02E-05,5.67E-05,5.19E+03
6226,8.25E-05,1.61E-05,3.67E-05,4.10E-05,5.19E+03
6227,8.48E-05,1.54E-05,4.86E-05,5.63E-05,5.19E+03
6228,6.30E-05,1.74E-05,5.81E-05,4.15E-05,5.19E+03
6229,9.96E-05,1.49E-05,8.30E-05,6.48E-05,5.20E+03
6230,6.21E-05,8.89E-06,2.08E-05,2.34E-05,5.20E+03
6231,9.91E-05,2.08E-05,5.06E-05,4.89E-05,5.20E+03
6232,9.80E-05,1.08E-05,3.10E-05,4.19E-05,5.20E+03
6233,6.11E-05,1.43E-05,3.15E-05,2.67E-05,5.20E+03
6234,8.02E-05,1.70E-05,4.36E-05,3.79E-05,5.20E+03
6235,9.16E-05,1.48E-05,2.86E-05,5.24E-05,5.20E+03
6236,6.15E-05,7.73E-06,1.20E-05,2.81E-05,5.20E+03
6237,9.15E-05,9.98E-06,1.89E-05,4.79E-05,5.20E+03
6238,9.22E-05,1.80E-05,4.34E-05,6.06E-05,5.20E+03
6239,6.57E-05,1.03E-05,2.08E-05,2.99E-05,5.21E+03
6240,7.02E-05,8.82E-06,1.38E-05,2.15E-05,5.21E+03
6241,9.28E-05,9.97E-06,1.74E-05,2.76E-05,5.21E+03
6242,8.85E-05,8.77E-06,1.65E-05,3.00E-05,5.21E+03
6243,6.77E-05,9.69E-06,2.46E-05,3.07E-05,5.21E+03
6244,7.72E-05,1.58E-05,3.50E-05,6.40E-05,5.21E+03
6245,8.20E-05,1.08E-05,3.57E-05,4.64E-05,5.21E+03
6246,6.78E-05,7.44E-06,2.21E-05,2.46E-05,5.21E+03
6247,7.30E-05,1.16E-05,2.33E-05,3.70E-05,5.21E+03
6248,7.39E-05,1.10E-05,3.29E-05,3.66E-05,5.21E+03
6249,9.18E-05,1.49E-05,5.97E-05,6.93E-05,5.22E+03
6250,9.56E-05,4.21E-05,7.48E-05,5.10E-05,5.22E+03
6251,9.53E-05,3.31E-05,4.83E-05,2.73E-05,5.22E+03
6252,7.29E-05,1.22E-05,4.00E-05,2.39E-05,5.22E+03
6253,9.15E-05,1.21E-05,5.95E-05,4.52E-05,5.22E+03
6254,6.42E-05,7.44E-06,1.51E-05,1.84E-05,5.22E+03
6255,5.97E-05,8.12E-06,1.32E-05,2.97E-05,5.22E+03
6256,6.25E-05,1.02E-05,2.15E-05,3.28E-05,5.22E+03
6257,9.72E-05,1.12E-05,2.70E-05,4.74E-05,5.22E+03
6258,7.15E-05,1.25E-05,1.80E-05,3.57E-05,5.22E+03
6259,9.73E-05,1.49E-05,1.94E-05,3.44E-05,5.23E+03
6260,8.41E-05,1.17E-05,1.84E-05,3.35E-05,5.23E+03
6261,6.23E-05,7.52E-06,2.45E-05,2.82E-05,5.23E+03
6262,8.80E-05,1.37E-05,3.63E-05,3.28E-05,5.23E+03
6263,7.32E-05,1.06E-05,2.94E-05,3.28E-05,5.23E+03
6264,9.80E-05,1.23E-05,3.12E-05,5.69E-05,5.23E+03
6265,7.29E-05,7.00E-06,1.53E-05,2.50E-05,5.23E+03
6266,8.20E-05,1.61E-05,2.69E-05,4.62E-05,5.23E+03
6267,5.51E-05,7.83E-06,9.64E-06,2.04E-05,5.23E+03
6268,8.16E-05,6.99E-06,1.48E-05,2.47E-05,5.23E+03
6269,6.28E-05,8.23E-06,2.25E-05,3.16E-05,5.24E+03
6270,8.40E-05,1.21E-05,3.62E-05,5.52E-05,5.24E+03
6271,8.00E-05,1.21E-05,4.72E-05,4.22E-05,5.24E+03
6272,6.87E-05,8.88E-06,3.95E-05,3.37E-05,5.24E+03
6273,9.57E-05,9.96E-06,1.92E-05,2.59E-05,5.24E+03
6274,6.08E-05,6.42E-06,8.24E-06,1.41E-05,5.24E+03
6275,8.78E-05,7.78E-06,2.37E-05,2.99E-05,5.24E+03
6276,6.44E-05,1.41E-05,2.79E-05,2.57E-05,5.24E+03
6277,6.04E-05,1.06E-05,2.44E-05,2.09E-05,5.24E+03
6278,6.17E-05,1.45E-05,2.19E-05,1.82E-05,5.24E+03
6279,8.13E-05,1.44E-05,1.72E-05,3.57E-05,5.25E+03
6280,6.01E-05,8.68E-06,1.55E-05,1.88E-05,5.25E+03
6281,8.09E-05,1.18E-05,2.22E-05,2.79E-05,5.25E+03
6282,8.32E-05,7.74E-06,2.19E-05,2.31E-05,5.25E+03
6283,6.03E-05,9.83E-06,2.90E-05,2.45E-05,5.25E+03
6284,8.67E-05,1.37E-05,4.70E-05,3.48E-05,5.25E+03
6285,8.23E-05,8.99E-06,1.59E-05,2.02E-05,5.25E+03
6286,7.38E-05,1.19E-05,2.10E-05,2.98E-05,5.25E+03
6287,6.07E-05,7.55E-06,1.82E-05,3.27E-05,5.25E+03
6288,7.48E-05,1.05E-05,2.51E-05,3.91E-05,5.25E+03
6289,8.55E-05,8.99E-06,2.35E-05,3.72E-05,5.26E+03
6290,6.83E-05,5.57E-06,1.13E-05,2.13E-05,5.26E+03
6291,8.49E-05,7.56E-06,1.74E-05,3.18E-05,5.26E+03
6292,8.71E-05,1.38E-05,3.29E-05,5.48E-05,5.26E+03
6293,8.68E-05,9.51E-06,3.21E-05,4.80E-05,5.26E+03
6294,9.36E-05,1.03E-05,2.98E-05,3.63E-05,5.26E+03
6295,7.40E-05,1.20E-05,3.85E-05,3.69E-05,5.26E+03
6296,7.79E-05,9.01E-06,4.19E-05,3.24E-05,5.26E+03
6297,6.80E-05,7.94E-06,2.68E-05,2.40E-05,5.26E+03
6298,6.10E-05,7.75E-06,2.15E-05,2.86E-05,5.26E+03
6299,6.03E-05,5.05E-06,1.68E-05,2.11E-05,5.27E+03
6300,9.95E-05,1.60E-05,3.03E-05,3.84E-05,5.27E+03
6301,5.69E-05,8.42E-06,1.85E-05,1.97E-05,5.27E+03
6302,9.61E-05,1.17E-05,3.05E-05,2.07E-05,5.27E+03
6303,6.50E-05,9.72E-06,1.33E-05,1.58E-05,5.27E+03
6304,8.65E-05,1.22E-05,3.68E-05,2.74E-05,5.27E+03
6305,6.11E-05,6.95E-06,1.76E-05,1.68E-05,5.27E+03
6306,7.28E-05,9.22E-06,1.53E-05,2.81E-05,5.27E+03
6307,6.02E-05,9.45E-06,1.35E-05,2.77E-05,5.27E+03
6308,6.22E-05,1.00E-05,2.19E-05,2.14E-05,5.27E+03
6309,7.20E-05,8.25E-06,2.37E-05,1.74E-05,5.28E+03
6310,5.62E-05,7.79E-06,1.69E-05,2.20E-05,5.28E+03
6311,6.56E-05,8.09E-06,1.81E-05,1.99E-05,5.28E+03
6312,6.68E-05,1.07E-05,2.29E-05,2.81E-05,5.28E+03
6313,6.21E-05,7.47E-06,1.71E-05,2.41E-05,5.28E+03
6314,5.99E-05,5.18E-06,8.27E-06,1.38E-05,5.28E+03
6315,9.18E-05,9.53E-06,1.84E-05,2.49E-05,5.28E+03
6316,6.54E-05,5.06E-06,1.20E-05,1.67E-05,5.28E+03
6317,9.11E-05,1.97E-05,5.75E-05,7.44E-05,5.28E+03
6318,9.46E-05,1.48E-05,4.94E-05,6.54E-05,5.28E+03
6319,7.29E-05,8.87E-06,1.89E-05,2.43E-05,5.29E+03
6320,7.20E-05,9.82E-06,2.15E-05,2.89E-05,5.29E+03
6321,6.98E-05,6.87E-06,1.69E-05,2.32E-05,5.29E+03
6322,9.97E-05,1.92E-05,2.95E-05,4.31E-05,5.29E+03
6323,6.51E-05,8.48E-06,2.41E-05,2.59E-05,5.29E+03
6324,6.41E-05,9.32E-06,2.02E-05,2.26E-05,5.29E+03
6325,6.06E-05,7.70E-06,1.94E-05,1.73E-05,5.29E+03
6326,9.85E-05,1.15E-05,3.98E-05,3.52E-05,5.29E+03
6327,6.51E-05,6.27E-06,1.19E-05,1.38E-05,5.29E+03
6328,6.93E-05,7.74E-06,1.52E-05,2.02E-05,5.29E+03
6329,9.15E-05,7.90E-06,2.48E-05,2.36E-05,5.30E+03
6330,9.42E-05,1.86E-05,3.84E-05,3.49E-05,5.30E+03
6331,6.71E-05,1.74E-05,2.92E-05,2.86E-05,5.30E+03
6332,8.46E-05,2.30E-05,4.94E-05,4.94E-05,5.30E+03
6333,6.50E-05,1.08E-05,2.18E-05,1.95E-05,5.30E+03
6334,6.20E-05,9.26E-06,2.60E-05,1.92E-05,5.30E+03
6335,5.75E-05,7.26E-06,2.31E-05,1.54E-05,5.30E+03
6336,9.76E-05,2.33E-05,3.67E-05,4.28E-05,5.30E+03
6337,6.56E-05,1.80E-05,3.51E-05,3.96E-05,5.30E+03
6338,8.26E-05,1.00E-05,1.88E-05,2.18E-05,5.30E+03
6339,6.48E-05,1.16E-05,2.67E-05,2.79E-05,5.31E+03
6340,6.84E-05,1.11E-05,2.62E-05,2.96E-05,5.31E+03
6341,7.79E-05,8.60E-06,2.88E-05,2.70E-05,5.31E+03
6342,6.62E-05,9.07E-06,2.33E-05,2.53E-05,5.31E+03
6343,8.14E-05,1.04E-05,3.82E-05,4.14E-05,5.31E+03
6344,6.69E-05,8.73E-06,4.02E-05,3.54E-05,5.31E+03
6345,8.61E-05,1.54E-05,5.68E-05,4.55E-05,5.31E+03
6346,7.29E-05,1.35E-05,4.60E-05,3.98E-05,5.31E+03
6347,5.86E-05,1.09E-05,3.05E-05,2.59E-05,5.31E+03
6348,6.68E-05,1.10E-05,2.64E-05,2.48E-05,5.31E+03
6349,9.24E-05,1.26E-05,2.97E-05,3.25E-05,5.32E+03
6350,6.42E-05,1.47E-05,2.90E-05,2.92E-05,5.32E+03
6351,6.41E-05,1.31E-05,2.35E-05,1.87E-05,5.32E+03
6352,5.67E-05,1.48E-05,2.48E-05,2.31E-05,5.32E+03
6353,8.19E-05,1.70E-05,3.00E-05,3.53E-05,5.32E+03
6354,9.83E-05,1.48E-05,5.62E-05,4.69E-05,5.32E+03
6355,6.23E-05,1.07E-05,3.03E-05,2.59E-05,5.32E+03
6356,5.56E-05,1.13E-05,2.39E-05,2.51E-05,5.32E+03
6357,8.87E-05,1.44E-05,2.53E-05,4.10E-05,5.32E+03
6358,6.89E-05,6.95E-06,1.50E-05,1.84E-05,5.32E+03
6359,6.21E-05,6.48E-06,1.87E-05,1.39E-05,5.33E+03
6360,9.57E-05,1.09E-05,2.58E-05,2.99E-05,5.33E+03
6361,6.46E-05,6.89E-06,1.44E-05,1.52E-05,5.33E+03
6362,8.62E-05,6.69E-06,2.80E-05,1.70E-05,5.33E+03
6363,6.27E-05,8.00E-06,2.10E-05,1.35E-05,5.33E+03
6364,8.48E-05,1.07E-05,2.90E-05,2.50E-05,5.33E+03
6365,6.11E-05,7.75E-06,2.03E-05,2.02E-05,5.33E+03
6366,7.34E-05,1.48E-05,2.06E-05,1.87E-05,5.33E+03
6367,9.61E-05,8.88E-06,2.14E-05,2.23E-05,5.33E+03
6368,9.18E-05,1.17E-05,4.27E-05,2.49E-05,5.33E+03
6369,6.13E-05,1.07E-05,3.51E-05,2.19E-05,5.34E+03
6370,9.91E-05,9.96E-06,3.78E-05,3.33E-05,5.34E+03
6371,7.96E-05,1.26E-05,3.03E-05,3.55E-05,5.34E+03
6372,6.33E-05,1.10E-05,2.42E-05,1.86E-05,5.34E+03
6373,7.81E-05,1.23E-05,3.98E-05,2.86E-05,5.34E+03
6374,8.81E-05,1.06E-05,2.80E-05,3.57E-05,5.34E+03
6375,8.41E-05,1.52E-05,3.04E-05,2.95E-05,5.34E+03
6376,8.47E-05,1.05E-05,2.42E-05,2.54E-05,5.34E+03
6377,7.03E-05,7.95E-06,1.75E-05,2.10E-05,5.34E+03
6378,7.37E-05,1.17E-05,2.32E-05,2.78E-05,5.34E+03
6379,8.87E-05,8.26E-06,2.15E-05,2.29E-05,5.35E+03
6380,7.19E-05,1.10E-05,1.63E-05,1.80E-05,5.35E+03
6381,7.24E-05,1.23E-05,2.75E-05,2.17E-05,5.35E+03
6382,9.70E-05,1.55E-05,4.62E-05,2.69E-05,5.35E+03
6383,8.73E-05,1.12E-05,3.78E-05,2.57E-05,5.35E+03
6384,6.55E-05,7.98E-06,1.59E-05,2.22E-05,5.35E+03
6385,6.66E-05,8.94E-06,3.76E-05,2.69E-05,5.35E+03
6386,6.68E-05,1.11E-05,3.73E-05,2.62E-05,5.35E+03
6387,6.59E-05,1.03E-05,2.01E-05,2.09E-05,5.35E+03
6388,6.66E-05,8.61E-06,2.06E-05,2.48E-05,5.35E+03
6389,6.14E-05,7.40E-06,2.35E-05,2.52E-05,5.36E+03
6390,6.02E-05,7.13E-06,2.01E-05,2.13E-05,5.36E+03
6391,6.63E-05,8.85E-06,2.50E-05,2.46E-05,5.36E+03
6392,5.84E-05,7.56E-06,1.72E-05,1.56E-05,5.36E+03
6393,9.70E-05,1.18E-05,3.22E-05,4.53E-05,5.36E+03
6394,9.49E-05,1.21E-05,3.66E-05,4.02E-05,5.36E+03
6395,5.78E-05,1.01E-05,3.02E-05,2.58E-05,5.36E+03
6396,8.16E-05,9.66E-06,2.87E-05,2.99E-05,5.36E+03
6397,7.89E-05,9.72E-06,2.71E-05,3.28E-05,5.36E+03
6398,8.05E-05,1.13E-05,3.70E-05,3.84E-05,5.36E+03
6399,6.26E-05,8.45E-06,1.66E-05,1.72E-05,5.37E+03
6400,8.41E-05,9.12E-06,1.48E-05,2.36E-05,5.37E+03
6401,5.76E-05,6.38E-06,1.60E-05,1.97E-05,5.37E+03
6402,6.57E-05,1.42E-05,2.93E-05,2.60E-05,5.37E+03
6403,7.13E-05,1.07E-05,3.77E-05,3.08E-05,5.37E+03
6404,6.75E-05,1.15E-05,3.90E-05,3.08E-05,5.37E+03
6405,9.63E-05,1.34E-05,5.61E-05,5.19E-05,5.37E+03
6406,6.96E-05,6.61E-06,2.16E-05,2.11E-05,5.37E+03
6407,8.07E-05,1.21E-05,4.23E-05,2.97E-05,5.37E+03
6408,9.05E-05,1.26E-05,3.79E-05,2.84E-05,5.37E+03
6409,8.72E-05,1.43E-05,4.83E-05,3.45E-05,5.38E+03
6410,6.03E-05,1.20E-05,4.60E-05,2.99E-05,5.38E+03
6411,9.05E-05,1.49E-05,4.51E-05,4.96E-05,5.38E+03
6412,5.69E-05,6.93E-06,2.82E-05,2.23E-05,5.38E+03
6413,5.63E-05,5.90E-06,2.63E-05,2.34E-05,5.38E+03
6414,9.62E-05,1.68E-05,3.88E-05,4.73E-05,5.38E+03
6415,8.20E-05,1.09E-05,2.69E-05,2.38E-05,5.38E+03
6416,7.71E-05,9.68E-06,3.14E-05,2.10E-05,5.38E+03
6417,6.02E-05,1.07E-05,3.11E-05,2.28E-05,5.38E+03
6418,7.30E-05,9.17E-06,2.53E-05,2.21E-05,5.38E+03
6419,9.57E-05,2.20E-05,4.93E-05,3.71E-05,5.39E+03
6420,8.40E-05,1.59E-05,4.01E-05,2.93E-05,5.39E+03
6421,7.49E-05,9.17E-06,1.98E-05,1.96E-05,5.39E+03
6422,6.75E-05,9.32E-06,1.59E-05,1.80E-05,5.39E+03
6423,9.96E-05,1.32E-05,2.92E-05,3.27E-05,5.39E+03
